SNR,Power,OSR,Adc1_gm,GBW1,IIP3_Int1,Adc2_gm,GBW2,IIP3_Int2,IIP_FF
73.468,0.0006332,64,67.667,6555700.0,0.0,54.347,4879300.0,0.0,0.0
72.514,0.0006332,64,67.667,6555700.0,9.1732,54.347,4879300.0,11.588,11.111
73.532,0.0006332,64,67.667,6555700.0,19.873,54.347,4879300.0,26.594,22.222
74.288,0.0006332,64,67.667,6555700.0,25.057,54.347,4879300.0,40.953,33.333
73.562,0.0006332,64,67.667,6555700.0,43.296,54.347,4879300.0,35.497,44.444
72.703,0.0006332,64,67.667,6555700.0,48.447,54.347,4879300.0,68.127,55.556
73.966,0.0006332,64,67.667,6555700.0,55.34,54.347,4879300.0,51.185,66.667
74.603,0.0006332,64,67.667,6555700.0,90.067,54.347,4879300.0,94.457,77.778
74.107,0.0006332,64,67.667,6555700.0,103.29,54.347,4879300.0,79.654,88.889
74.151,0.0006332,64,67.667,6555700.0,88.543,54.347,4879300.0,112.26,100.0
73.468,0.0006332,64,67.667,6078100.0,0.0,54.347,6267200.0,0.0,0.0
73.166,0.0006332,64,67.667,6078100.0,9.1732,54.347,6267200.0,11.588,11.111
73.116,0.0006332,64,67.667,6078100.0,25.057,54.347,6267200.0,40.953,33.333
71.927,0.0006332,64,67.667,6078100.0,43.296,54.347,6267200.0,35.497,44.444
74.169,0.0006332,64,67.667,6078100.0,48.447,54.347,6267200.0,68.127,55.556
73.584,0.0006332,64,67.667,6078100.0,55.34,54.347,6267200.0,51.185,66.667
73.022,0.0006332,64,67.667,6078100.0,90.067,54.347,6267200.0,94.457,77.778
73.66,0.0006332,64,67.667,6078100.0,103.29,54.347,6267200.0,79.654,88.889
73.031,0.0006332,64,67.667,6078100.0,88.543,54.347,6267200.0,112.26,100.0
74.063,0.0006332,64,67.667,7553200.0,0.0,54.347,8363300.0,0.0,0.0
73.66,0.0006332,64,67.667,7553200.0,9.1732,54.347,8363300.0,11.588,11.111
74.395,0.0006332,64,67.667,7553200.0,19.873,54.347,8363300.0,26.594,22.222
73.918,0.0006332,64,67.667,7553200.0,25.057,54.347,8363300.0,40.953,33.333
73.263,0.0006332,64,67.667,7553200.0,43.296,54.347,8363300.0,35.497,44.444
73.413,0.0006332,64,67.667,7553200.0,48.447,54.347,8363300.0,68.127,55.556
73.872,0.0006332,64,67.667,7553200.0,55.34,54.347,8363300.0,51.185,66.667
73.627,0.0006332,64,67.667,7553200.0,90.067,54.347,8363300.0,94.457,77.778
75.147,0.0006332,64,67.667,7553200.0,103.29,54.347,8363300.0,79.654,88.889
72.513,0.0006332,64,67.667,7553200.0,88.543,54.347,8363300.0,112.26,100.0
71.507,0.00085641,64,67.667,14271000.0,9.1732,54.347,13222000.0,11.588,11.111
70.445,0.00085641,64,67.667,14271000.0,19.873,54.347,13222000.0,26.594,22.222
70.695,0.00085641,64,67.667,14271000.0,25.057,54.347,13222000.0,40.953,33.333
71.37,0.00085641,64,67.667,14271000.0,43.296,54.347,13222000.0,35.497,44.444
72.392,0.00085641,64,67.667,14271000.0,48.447,54.347,13222000.0,68.127,55.556
73.326,0.00085641,64,67.667,14271000.0,55.34,54.347,13222000.0,51.185,66.667
73.367,0.00085641,64,67.667,14271000.0,90.067,54.347,13222000.0,94.457,77.778
72.732,0.00085641,64,67.667,14271000.0,103.29,54.347,13222000.0,79.654,88.889
73.438,0.00085641,64,67.667,14271000.0,88.543,54.347,13222000.0,112.26,100.0
73.365,0.00085641,64,67.667,18298000.0,9.1732,54.347,16624000.0,11.588,11.111
73.664,0.00085641,64,67.667,18298000.0,19.873,54.347,16624000.0,26.594,22.222
73.898,0.00085641,64,67.667,18298000.0,25.057,54.347,16624000.0,40.953,33.333
73.153,0.00085641,64,67.667,18298000.0,43.296,54.347,16624000.0,35.497,44.444
74.304,0.00085641,64,67.667,18298000.0,48.447,54.347,16624000.0,68.127,55.556
74.789,0.00085641,64,67.667,18298000.0,55.34,54.347,16624000.0,51.185,66.667
73.986,0.00085641,64,67.667,18298000.0,90.067,54.347,16624000.0,94.457,77.778
74.069,0.00085641,64,67.667,18298000.0,103.29,54.347,16624000.0,79.654,88.889
73.628,0.00085641,64,67.667,18298000.0,88.543,54.347,16624000.0,112.26,100.0
73.319,0.00085641,64,67.667,28765000.0,0.0,54.347,23553000.0,0.0,0.0
72.571,0.00085641,64,67.667,28765000.0,9.1732,54.347,23553000.0,11.588,11.111
73.945,0.00085641,64,67.667,28765000.0,19.873,54.347,23553000.0,26.594,22.222
73.648,0.00085641,64,67.667,28765000.0,25.057,54.347,23553000.0,40.953,33.333
74.423,0.00085641,64,67.667,28765000.0,43.296,54.347,23553000.0,35.497,44.444
74.733,0.00085641,64,67.667,28765000.0,48.447,54.347,23553000.0,68.127,55.556
73.858,0.00085641,64,67.667,28765000.0,55.34,54.347,23553000.0,51.185,66.667
75.237,0.00085641,64,67.667,28765000.0,90.067,54.347,23553000.0,94.457,77.778
73.607,0.00085641,64,67.667,28765000.0,103.29,54.347,23553000.0,79.654,88.889
73.322,0.00085641,64,67.667,28765000.0,88.543,54.347,23553000.0,112.26,100.0
73.778,0.00085641,64,67.667,29188000.0,0.0,54.347,35323000.0,0.0,0.0
75.655,0.00085641,64,67.667,29188000.0,9.1732,54.347,35323000.0,11.588,11.111
73.85,0.00085641,64,67.667,29188000.0,19.873,54.347,35323000.0,26.594,22.222
75.042,0.00085641,64,67.667,29188000.0,25.057,54.347,35323000.0,40.953,33.333
75.279,0.00085641,64,67.667,29188000.0,43.296,54.347,35323000.0,35.497,44.444
72.709,0.00085641,64,67.667,29188000.0,48.447,54.347,35323000.0,68.127,55.556
73.306,0.00085641,64,67.667,29188000.0,55.34,54.347,35323000.0,51.185,66.667
74.968,0.00085641,64,67.667,29188000.0,90.067,54.347,35323000.0,94.457,77.778
75.688,0.00085641,64,67.667,29188000.0,103.29,54.347,35323000.0,79.654,88.889
75.441,0.00085641,64,67.667,29188000.0,88.543,54.347,35323000.0,112.26,100.0
70.348,0.0010942,64,67.667,46101000.0,0.0,54.347,38063000.0,0.0,0.0
71.459,0.0010942,64,67.667,46101000.0,9.1732,54.347,38063000.0,11.588,11.111
71.384,0.0010942,64,67.667,46101000.0,25.057,54.347,38063000.0,40.953,33.333
